region,product_category,price,discount,rating,marketing_score,seasonality_index,competitor_price,store_count,customer_satisfaction,delivery_time_days,online_ad_spend,units_sold,cost_price,revenue,profit,profit_margin,social_media_mentions,weather_impact_score
UAE,Shoes,218.28,0.21,3.87,47.49,0.92,,35,72.48,2.6,6717.9,227,149.63,49549.74,15582.98,0.3145,9256,0.307687708
UAE,Apparel,104.79,0.25,4.98,84.1,1.19,100.6,14,69.76,8.5,48717.29,604,70.54,63294.3,20686.98,0.3268,,
Bahrain,Apparel,25.83,0.46,3.71,98.89,1.25,22.55,27,71.35,8.8,42765.21,633,18.58,16348.82,4586.87,0.2806,,
Oman,Apparel,99.23,0.5,4.21,79.96,0.76,111.87,20,76.6,11.8,4390.66,431,73.01,42767.5,11299.56,0.2642,,0.711921057
Saudi Arabia,Shoes,103.01,0.25,3.49,35.78,1.14,128.72,20,90.79,13.8,17118.96,317,68.33,32652.93,10990.82,0.3366,,0.904767788
UAE,Shoes,165.84,0.16,3.32,29.84,0.98,130.47,32,61.78,3.3,34108.84,245,110.9,40631.76,13460.57,0.3313,1429,
UAE,Apparel,136.56,0.09,3.84,91.02,1.19,148.62,58,90.94,3.4,25533.94,557,98.67,76066.1,21104.67,0.2775,,
UAE,Apparel,43.63,0.17,3.14,70.3,1.22,38.67,67,62,8,37686.23,668,30.08,29146.84,9051.65,0.3106,4381,0.369288355
Oman,Shoes,181.78,0.01,3.24,49.99,0.73,152.75,40,97.79,9.3,12212.5,151,120.65,27448.56,9230.08,0.3363,,0.250441402
UAE,Shoes,95.07,0.04,3.27,38.98,0.76,118.11,37,71.69,9.6,10488.65,278,60.95,26430.64,9485.28,0.3589,815,0.076772611
Oman,Shoes,142.4,0.07,3.23,71.34,1.29,130.98,17,83.54,7.5,10275.11,322,82.86,45852.99,19173.17,0.4181,,
UAE,Apparel,95.49,0.48,3.59,28.68,0.97,82.26,9,89.92,13.2,26641.17,426,59.03,40677.15,15530.13,0.3818,6964,0.086164786
Qatar,Apparel,112.87,0.41,3.65,51.39,1.15,120.14,58,73.91,12.8,24057.27,562,79.81,63431.91,18576.91,0.2929,,
Bahrain,Shoes,217.33,0.1,3.63,79.95,1.23,193.03,59,81.3,3.9,48733.6,335,120.87,72804.61,32312.89,0.4438,,0.044006124
Kuwait,Shoes,229.04,0.43,3.34,89,0.77,190.06,28,99.75,13,24641.71,312,149.17,71461.68,24920.82,0.3487,,0.009668753
UAE,Shoes,169.96,0.27,4.77,71.31,0.92,161.43,10,75.87,6.9,2987.51,290,109.73,49288.78,17467.64,0.3544,,0.018250774
Qatar,Accessories,33.62,0.47,3.43,37.1,1.28,31.29,55,80.29,2.1,23317.82,788,27.77,26495.01,4608.58,0.1739,4744,
UAE,Shoes,243.04,0.38,3.47,40.83,1.02,276.12,27,,4.9,20816.83,285,135.3,69267.6,30706.55,0.4433,,
Saudi Arabia,Shoes,87.94,0.39,4.77,56.43,1.08,85.93,29,89.73,1.5,30505.59,420,59.96,36936.81,11752.72,0.3182,,
Bahrain,Shoes,212.62,0.43,4.69,54.05,0.93,195.09,65,71.34,,13669.34,359,128.05,76330.45,30361.56,0.3978,,0.927875045
UAE,Apparel,133.23,0.26,4.62,75.1,0.91,162.64,62,96.59,7.7,18078.61,509,86,67812.11,24035.73,0.3544,,0.287523726
Saudi Arabia,Apparel,51.28,0.02,3.92,35.61,0.92,39.02,22,89.83,11.1,22351.96,439,36.96,22512.28,6286.33,0.2792,370,0.119701318
Oman,Shoes,224.6,0.38,4.98,48.39,1.15,189.39,32,,2,35165.16,373,156.17,83776.86,25524.69,0.3047,,
UAE,Apparel,78.3,0.2,3.73,46.1,0.99,88.37,44,,4.9,38525.07,527,50.5,41265.32,14654.33,0.3551,,
Qatar,Shoes,98.29,0.28,4.91,87.75,0.91,84.78,43,78.34,8.4,48384.04,453,66.41,44526.04,14441.6,0.3243,3118,0.335084676
Bahrain,Apparel,122.75,0.11,3.7,67.8,0.84,113.43,36,97.2,1.6,30205.34,346,86.74,42471.51,12460.64,0.2934,,
Kuwait,Accessories,17.68,0.24,4.29,43.34,0.72,15,10,82.63,9,13665.29,476,14.29,8415.36,1612.92,0.1917,,0.543051539
Oman,Shoes,247.22,0.5,3.71,97.4,0.77,290.06,37,68.21,2.4,11441.93,363,155.11,89739.84,33434.99,0.3726,6344,
Bahrain,Shoes,108.89,0.02,,39.15,0.82,89.15,63,64.61,3.9,12938.8,288,71.04,31359.89,10899.15,0.3476,2053,0.496387862
Oman,Apparel,56.71,0,4.63,57.27,0.96,62,24,,4.4,31829.2,392,36.38,22228.82,7968.88,0.3585,3129,
Oman,Accessories,18.7,0.28,3.76,63.43,0.81,17.93,66,84.71,4.3,26031.29,593,15.81,11089.45,1714.67,0.1546,,0.780489404
Saudi Arabia,Accessories,71.73,0.22,3.65,44.83,0.94,56.57,16,93.68,9.8,27711.1,461,57.87,33069.51,6391.39,0.1933,,
Oman,Apparel,79.35,0.43,3.74,77.54,0.85,68.76,53,63.2,2.1,32963.44,526,52.75,41736.14,13991.97,0.3352,,
Qatar,Accessories,8.03,0.2,4.42,44.3,1.01,6.43,33,,11,8456.8,709,6.8,5693.18,874.83,0.1537,8641,0.753130651
Saudi Arabia,Accessories,10.32,0.23,3.4,93.31,0.84,8.69,65,91.14,10.2,23961.54,624,8.36,6442.48,1228.29,0.1907,8143,0.567756686
Qatar,Shoes,178.85,0.27,4.13,93.8,0.9,166.32,7,76.76,4.9,32826.49,326,101.37,58303.7,25257.38,0.4332,5048,
Kuwait,Accessories,65.21,0.27,3.32,72.43,1.01,68.86,38,95.44,13.4,36643.31,554,54.9,36125.6,5710.44,0.1581,,0.100564108
Saudi Arabia,Apparel,51.56,0.45,3.2,73.61,1.28,61.42,41,75.15,1.1,37190.11,601,36.27,30988.58,9188.84,0.2965,6221,
Qatar,Accessories,19,0.14,3.8,85.53,1.23,16.44,44,85.07,5.1,45022.16,756,15.14,14360.37,2915.65,0.203,8830,
Oman,Apparel,120.8,0.01,3.76,47.05,1.13,101.55,31,95.58,6.7,41516.22,338,81.02,40829,13444.08,0.3293,,
Kuwait,Shoes,122.71,0.16,4.16,22.38,1.11,115.1,29,91.08,8.7,33174.43,287,73.39,35216.4,14152.24,0.4019,2186,0.871665899
Bahrain,Apparel,96.91,0.02,3.73,36.65,1.07,80.35,42,96.22,10.3,42448.98,384,68.94,37213.45,10741.25,0.2886,,
Saudi Arabia,Accessories,23.82,0.34,4.9,23.2,0.91,22.58,51,65.79,3.2,7835.23,625,17.6,14886.27,3886.26,0.2611,,
Oman,Apparel,28.39,0.23,3.58,23.7,1.05,26.51,27,97.26,11.1,28337.25,491,18.25,13940.08,4976.92,0.357,,0.172482627
Saudi Arabia,Accessories,47.68,0.02,4.22,23.4,0.87,46.52,8,73.74,2.7,16299.02,479,33.86,22839.97,6622.19,0.2899,5614,
Kuwait,Accessories,75.31,0.35,3.28,93.54,1.11,74.14,52,75.13,12,37309.65,698,57.92,52565.79,12135.71,0.2309,,0.158821846
Saudi Arabia,Accessories,26.23,0.32,3.07,64.79,1.15,23.3,20,72.08,3.2,11032.43,659,19.22,17282.88,4616.71,0.2671,,
Oman,Apparel,60.62,0.45,4.7,25.62,0.85,51.39,45,66.48,1.9,18153.94,515,45.33,31221.78,7874.81,0.2522,,
Bahrain,Shoes,81.01,0.1,4.52,26.67,1.24,63.18,56,89.12,11,45398.81,397,47.8,32161.4,13185.83,0.41,,
Kuwait,Accessories,82.67,0.01,4.44,22.41,1.1,65.96,39,97.51,6.4,44008.82,507,67.34,41914.85,7773.54,0.1855,4359,
Bahrain,Shoes,194.86,0.19,4.85,61.05,0.72,183.31,18,62.38,5.4,48326.66,272,115.94,53002.66,21466.82,0.405,,0.954798692
Qatar,Apparel,43.65,0.43,,36.08,0.8,54.49,36,,8,11736.22,486,32.16,21213.41,5584.4,0.2632,,
Qatar,Shoes,248.16,0.03,4.08,36.79,0.95,247.63,13,72,8.3,38200.58,288,170.17,71469.61,22461.63,0.3143,,0.68713883
UAE,Apparel,69.7,0.4,3.76,50.94,0.92,56.16,17,73.55,7.2,16950.78,534,49.67,37217.97,10691.61,0.2873,8589,0.438901255
UAE,Apparel,102.26,0.15,3.96,99.05,0.75,,27,94.99,5,5033.11,458,75.34,46836.39,12331.05,0.2633,,
Kuwait,Apparel,131.92,0.11,4.67,74.17,0.79,112.59,10,95.52,,29967.35,325,84.42,42873.38,15438.49,0.3601,6147,0.2613317
UAE,Shoes,222.66,0.01,3.77,60.94,0.81,195.7,14,92.77,4.9,25561.02,158,148.37,35179.58,11736.62,0.3336,,
Oman,Accessories,43.96,0.48,4.47,95.04,1.26,48.1,59,,8.6,18855.57,751,31.95,33012.88,9018.45,0.2732,,
Qatar,Apparel,98.82,0.09,4.63,25.72,1.16,112.22,12,,11.7,30165.74,401,67.19,39625.19,12682.98,0.3201,,
Oman,Accessories,44.63,0.14,,87.98,0.74,38.68,63,60.02,8.5,11323.98,544,32.75,24276.63,6463.06,0.2662,,
Kuwait,Apparel,113.58,0.41,3.9,44.92,1.13,115.58,49,,13.5,29344.5,563,72.17,63946.75,23317,0.3646,,
Bahrain,Accessories,49.74,0.01,,48.92,0.94,,6,77.54,12.5,13533.79,444,39.77,22086.18,4427.46,0.2005,4621,0.378593087
Bahrain,Shoes,151.9,0.02,4.05,94.01,1.11,121.03,30,60.83,4.7,24233.43,382,85.57,58027.53,25340.29,0.4367,,
Qatar,Apparel,46.53,0.42,3.87,28.24,0.99,55.22,34,96.7,9.9,37043.48,559,32.63,26008.34,7766.18,0.2986,7799,0.410575346
Qatar,Accessories,67.89,0.44,4.88,25.51,0.93,77.59,60,96.21,13.9,44651.35,692,55.41,46981.76,8640.61,0.1839,,
Bahrain,Shoes,116.05,0.38,3.57,47.67,1.06,139.57,24,62.48,9.9,27603.2,374,64.44,43404.27,19302.35,0.4447,6428,
Qatar,Shoes,141.49,0.01,3.08,92.77,0.84,133.32,44,61.49,4.4,24188.33,326,85.64,46125.94,18206.5,0.3947,4363,0.516053543
Saudi Arabia,Accessories,31.3,0.43,4.69,97.29,1.18,38.7,60,98.47,11.8,9116.82,819,26.01,25632.25,4331.02,0.169,,
Qatar,Apparel,128.09,0.46,3.32,84.36,1.21,132.47,19,82.58,5.8,41426.5,521,80.75,66735.99,24666.12,0.3696,4364,0.526637828
Kuwait,Apparel,111.03,0.47,4.23,23.29,0.88,97.72,39,64.13,12.2,26300.45,475,79.56,52739.5,14949.33,0.2835,8377,0.596082754
Saudi Arabia,Apparel,100.31,0.05,3.87,45.71,0.75,80.03,53,88.16,6.7,37675.15,395,65.62,39623.97,13703.21,0.3458,,
Bahrain,Apparel,115.46,0.39,3.84,92.96,1.11,113.24,55,,,43612.25,589,80.75,68005.18,20442.47,0.3006,,
Kuwait,Accessories,63.64,0.32,4.21,73.68,0.87,63.54,51,91.26,,49550.36,609,50.86,38755.04,7780.23,0.2008,,
Qatar,Accessories,56.17,0.18,3.28,64.18,0.9,49.28,37,77.75,9,43183.44,546,42.9,30671.3,7246.64,0.2363,,0.719148691
Qatar,Shoes,158.21,0.42,4.94,49.21,1.23,179.37,7,66.42,10.3,31465.41,472,99.63,74673.9,27650.16,0.3703,,
Oman,Apparel,119.59,0.43,3.24,65.56,0.9,130.78,41,80.24,8.8,47258.47,461,88.24,55129.15,14449.31,0.2621,,
Saudi Arabia,Accessories,29.98,0.41,4.94,57.6,1.3,33.23,50,93.94,12.6,24149.37,778,22.7,23323.75,5665.26,0.2429,,
Oman,Accessories,67.53,0.25,4.53,22.44,0.8,59.04,64,63.83,6.9,38873.74,515,47.56,34778.94,10284.86,0.2957,,0.928064809
Kuwait,Accessories,89.27,0.46,3.78,75.82,0.73,95.07,6,79.9,11,14993,510,72.57,45527.73,8515.53,0.187,2546,
Kuwait,Shoes,224.11,0.11,4.04,64.59,0.91,203.12,10,63.55,9.6,10154.9,139,155.95,31151.5,9473.76,0.3041,,
Qatar,Accessories,10.03,0.06,3.28,90.97,1.19,9.07,60,66.92,7.9,7390.73,713,7.25,7151.26,1983.11,0.2773,7199,0.506402886
UAE,Shoes,148.83,0.15,3.83,31.38,0.8,133.12,49,63.81,4,8360.65,244,98.4,36315.09,12305.37,0.3388,,0.01825449
UAE,Apparel,50.35,0.04,3.83,52.97,0.75,43.94,-17,91.73,11.9,49761.97,439,31.69,22105.77,8194.15,0.3707,7448,0.5265813
Bahrain,Shoes,197.09,0.36,3.68,66.46,0.89,178.23,67,81.58,3.8,3174.56,432,110.78,85142.9,37285.24,0.4379,,
Qatar,Accessories,75.19,0.14,4.05,49.5,0.73,61.49,51,79.38,4.4,39483.73,539,59.3,40528.99,8566.92,0.2114,,
UAE,Shoes,204.36,0.38,4.18,61.84,1.05,250.01,33,63.29,13.7,9881.99,323,130.08,66006.83,23990.1,0.3634,,0.81070588
Qatar,Accessories,56.25,0.28,4.02,91.26,0.73,55.79,69,62.93,,9776.73,636,42.9,35776.3,8488.79,0.2373,,
Saudi Arabia,Shoes,166.31,0.48,3.79,40.03,1.03,204.21,52,93.6,4.2,39465.09,332,97.32,55213.64,22903.83,0.4148,,
Bahrain,Accessories,82.99,0.23,3.39,25.71,1.15,78.37,66,96.5,,45335.86,560,61.78,46471.91,11872.5,0.2555,,
Saudi Arabia,Accessories,88.48,0.16,4.98,77.19,0.92,90.55,9,80.21,5.9,10958.2,531,70.49,46982.41,9551.31,0.2033,6670,0.691764246
Kuwait,Shoes,117.92,0.12,4.5,95.12,1.24,144.17,48,91.13,12.5,15553.43,434,80.25,51178.41,16349.38,0.3195,,0.179657559
Saudi Arabia,Accessories,23.63,0.15,4.64,91.41,1.01,,61,84.3,5.2,29418.32,751,17.33,17744.53,4731.45,0.2666,9871,
UAE,Accessories,8.31,0.01,,72.18,0.94,9.93,35,67.74,7.1,17866.07,657,6.42,5457.92,1239.82,0.2272,,0.993195328
UAE,Shoes,219.68,0.05,3.45,70.63,1.17,218.07,14,92,8.1,33814.58,340,135.76,74689.81,28531.97,0.382,9699,0.245702237
Kuwait,Shoes,129.17,0.17,4.38,69.61,0.72,104.04,62,89.32,11,4917.88,311,82.19,40172.51,14611.5,0.3637,,0.463690109
Saudi Arabia,Accessories,89.35,0.13,3.26,77.68,0.8,67.34,36,97.84,,27543.19,517,66.1,46192.91,12020.95,0.2602,,0.507238442
UAE,Accessories,51.06,0.41,3.79,23.87,1.15,,39,,11.4,13870.43,695,42.54,35484.63,5920.05,0.1668,,
Qatar,Apparel,127.23,0.3,4.21,92.23,0.92,101.49,53,,,30559.9,533,80.76,67815.82,24769.34,0.3652,6304,
Kuwait,Accessories,77.45,0.18,4.48,61.46,0.74,68.1,54,91.05,12.8,40178.19,490,58.76,37951.97,9157.35,0.2413,,0.535747305
Kuwait,Apparel,57.33,0.43,3.57,45.7,0.85,45.7,51,97.2,,27518.42,515,41.81,29523.14,7993.04,0.2707,,0.817652727
UAE,Shoes,100.14,0.37,4.34,26.09,1,79.85,57,96.9,13.2,14758.9,439,58.62,43962.73,18228.94,0.4146,,0.561199206
Saudi Arabia,Apparel,81.05,0.47,4.65,56.91,1.11,101.31,21,,6,4482.71,575,59.6,46601.39,12333.15,0.2647,,
Oman,Shoes,156.97,0.41,3.62,30.46,1.09,177.79,46,94.82,10.9,36937.83,325,93.46,51016.53,20641.71,0.4046,3608,
Qatar,Apparel,124.29,0.43,4.07,68.2,1.07,99.4,7,63.76,13.8,17023.58,494,84.1,61398.88,19855.41,0.3234,,
Kuwait,Accessories,37.68,1.333894765,4.51,36.45,1.27,46.14,8,94.24,1.2,47992.36,546,27.07,20573.39,5792.92,0.2816,,
Oman,Shoes,125.8,0.11,3.27,83.67,1.08,94.92,27,75.75,5.8,5588.34,339,87.95,42647.52,12833.4,0.3009,8779,
Qatar,Apparel,50.04,0.36,4.4,87.46,0.99,44.13,63,,13.6,32836.31,703,35.68,35176.47,10093.56,0.2869,,
Saudi Arabia,Accessories,49.7,0.32,3.05,53.7,0.89,50.97,50,81.35,12.2,6887.56,564,40.42,28031.28,5236.31,0.1868,7703,
Saudi Arabia,Shoes,70.05,0.28,4.58,61.94,0.89,66.39,5,70.55,4.2,21865.11,406,41.75,28439.78,11490,0.404,,
Bahrain,Accessories,16.69,0.41,3.65,92.83,1.14,13.33,56,63.1,8.7,46243.44,734,13.18,12247.6,2575.98,0.2103,,
Bahrain,Accessories,71.46,0.11,3.52,86.56,1.2,60.9,64,60.84,8.5,33970.11,607,56.53,43375.74,9063.04,0.2089,,
Bahrain,Apparel,58.47,0.29,3.4,95.2,0.74,47.66,10,93.23,8.9,46659.74,409,39.27,23914.79,7852.59,0.3284,,
Qatar,Shoes,133.91,0.07,4.08,23.86,1.18,,42,82.13,5.3,47656.03,370,86.12,49547.66,17683,0.3569,,
Oman,Accessories,32.54,0.28,3.61,24.02,1.05,37.18,37,93.92,9.8,33095,499,23.24,16238.19,4643.04,0.2859,,0.787390069
Saudi Arabia,Accessories,71.79,0.16,3.58,72.36,0.92,,16,77.1,,36449.98,507,54.67,36395.66,8677.49,0.2384,3078,
Oman,Shoes,97.99,0.14,3.44,79.02,0.96,113.47,34,76.12,7.9,34535.17,325,57.53,31847.74,13151.33,0.4129,,
Bahrain,Accessories,87.78,0.46,,70.61,0.94,86.46,53,83.62,12.3,27965.34,605,72.77,53106.36,9083.25,0.171,780,0.576299157
Bahrain,Shoes,80.21,0.4,3.04,25.6,0.86,69.48,64,66.43,12.6,21014.15,402,44.36,32245.19,14413.87,0.447,,
Oman,Accessories,63.8,0.29,4.93,39.93,0.74,71.38,41,66.02,9.8,23897.5,472,47.96,30114.41,7476.28,0.2483,5361,0.76921456
UAE,Shoes,143.26,0.39,4.26,86.31,0.98,174.54,41,90.77,13.1,45070.19,432,100,61889.26,18690.66,0.302,5051,
UAE,Accessories,34.29,0.35,4.96,70.22,1.04,26.67,30,84.32,4.8,9236.7,691,25.81,23696.85,5863.08,0.2474,616,
UAE,Apparel,109.53,0.45,4.7,70.28,1.09,95.16,10,83.7,10.1,17475.9,594,71.65,65058.47,22501.28,0.3459,,
Oman,Accessories,72.85,0.13,3.95,20.02,1.07,58.2,60,99.23,9.6,9615.99,553,52.05,40285.83,11504.07,0.2856,,0.403575576
Qatar,Accessories,73.38,0.22,3.17,37.72,0.94,86.88,63,61.45,8.3,49664.82,587,61.71,43075.2,6854.28,0.1591,4071,
Kuwait,Apparel,132.2,0.34,4.1,95.2,0.77,99.77,52,89.39,11.6,8051.35,430,86.74,56847.26,19549.05,0.3439,6834,0.384130382
Qatar,Accessories,44.28,0.09,4.84,90.65,1.05,54.44,36,83.96,10.5,14175.19,703,36.29,31127.48,5617.95,0.1805,,
Qatar,Accessories,52.39,0.42,3.34,88.19,1.16,48.82,52,73.25,5.6,49180.7,737,39.16,38610.52,9752.42,0.2526,,
Kuwait,Apparel,71.92,0.18,3.52,68.54,1.21,69.76,43,88.72,9.9,35209.82,570,52.01,40995.49,11352.51,0.2769,,0.929624726
Bahrain,Shoes,240.07,0.43,,29.78,0.71,249.43,37,82.21,2,37786.13,180,153.59,43211.83,15566.2,0.3602,,0.705945404
Saudi Arabia,Shoes,75.68,0.27,3.77,99.36,0.83,91.18,21,75.39,2.8,27061.01,356,51.3,26943.38,8681.13,0.3222,,0.988608674
Qatar,Shoes,127.43,0.22,3.7,31.18,0.95,108.94,65,93.54,,17715.55,299,82.04,38100.26,13570.92,0.3562,3816,0.992045877
Saudi Arabia,Accessories,28.22,0.03,4.52,86.04,0.95,25.1,54,99.66,,45358.31,662,20.89,18680.79,4850.88,0.2597,9808,
Bahrain,Apparel,37.11,0.11,4.91,67.14,0.78,,17,66.65,12,12428.37,482,25.54,17885.44,5574.13,0.3117,,
UAE,Accessories,32.1,0.03,4.71,33.88,0.88,29.06,12,92.64,4.2,26978.73,479,24.12,15377.26,3825.5,0.2488,,
UAE,Shoes,159.22,0.31,3.79,51.3,0.71,195.64,46,67.28,10.7,24937.7,377,99.6,60024.92,22476.68,0.3745,,
Oman,Apparel,68.81,0.46,3.39,70.66,0.86,,37,62.13,12.5,43059.52,494,48.56,33991.99,10003.25,0.2943,,
Bahrain,Accessories,56.78,0.44,4.11,88.72,0.83,69.01,-67,74.71,1.3,47694.05,627,45.46,35604.07,7098.1,0.1994,,
Oman,Accessories,68.79,0.05,,75.59,0.86,84.68,30,,5.8,28007.42,485,49.22,33364.51,9490.77,0.2845,4719,
Bahrain,Shoes,224.06,0.12,4.35,28.85,1,195.31,54,83.66,6.3,33549.33,285,123.34,63857.72,28705.23,0.4495,,
Saudi Arabia,Apparel,134.51,0.2,4.93,87.33,1.23,105.12,43,72.06,1.7,10309.12,608,92.23,81779.32,25705.29,0.3143,,
Oman,Apparel,82.61,0.2,3.85,36.7,1.2,,47,60.31,4.2,40528.78,472,58.84,38992.99,11220.13,0.2877,,
UAE,Apparel,44,0.48,3.03,90.47,0.76,45.44,28,81.46,13.2,31188.55,487,31.57,21427.41,6054.28,0.2825,,
Bahrain,Shoes,76.12,0.14,4.84,46.57,1.11,75.17,20,98.95,11.6,20424.79,383,50.6,29154.49,9775.87,0.3353,,
UAE,Accessories,337.4445552,0.46,4.73,92.63,0.98,56.29,60,63.95,,45374.29,9880,32.23,34664.54,10168.9,0.2934,,
Saudi Arabia,Apparel,96.71,0.15,3.13,70.9,1.22,119.56,20,69.07,10.3,20434.33,512,69.9,49516.43,13725.43,0.2772,,
Oman,Accessories,18.39,0.45,3.94,78.55,0.73,18.57,26,84.1,9,40424.38,545,14.76,10020.22,1974.51,0.1971,,
Qatar,Shoes,217.85,0.47,7.171150595,57.22,1.28,186.56,51,87.86,9.4,38718.48,474,138.86,103259.24,37437.48,0.3626,,0.351622323
Bahrain,Apparel,44.35,0.36,3.07,37.99,1,47.17,12,83.7,1.9,47746.58,368,32.45,16321.04,4378.56,0.2683,,
Bahrain,Shoes,80.13,0.16,4.07,24.67,1.13,80.35,67,68.23,4,23537.62,432,45.61,34615.49,14912.29,0.4308,8160,
UAE,Accessories,35.68,0.21,4.74,63.52,1.27,36.16,30,60.44,7.4,31228.02,764,27.36,27258.19,6352.9,0.2331,,0.876075132
Kuwait,Apparel,48.58,0.12,4.01,58.28,0.92,50.39,9,83.47,1.4,27301.44,396,29.32,19236.96,7625.9,0.3964,,
Saudi Arabia,Accessories,63.26,0.08,3.48,83.96,0.99,59.73,16,87.2,4.9,35006.18,548,53.45,34663.98,5372.86,0.155,,0.282752981
UAE,Accessories,59.65,0.45,3.45,81.63,1.3,59.47,21,92.56,,18949.6,816,48.42,48673.35,9165.63,0.1883,,0.072491524
UAE,Apparel,131.42,0.33,3.45,26.26,0.95,163,42,67.12,12.4,35815.38,483,80.42,63477.11,24634.94,0.3881,,
Saudi Arabia,Accessories,8.75,0.07,,71.26,0.79,9.92,24,86.11,13,20346.99,584,6.25,5110.12,1462.81,0.2863,,
Bahrain,Shoes,80.74,0.1,3.12,89.08,0.71,68.58,55,99.84,12.4,33916.01,406,47.92,32779.78,13322.86,0.4064,,0.861996943
Kuwait,Apparel,38.42,0.33,,34.33,1.1,32.35,38,99.72,,14728.52,513,26.67,19711.63,6031.84,0.306,,
Bahrain,Apparel,79.63,0.2,3.02,36.29,0.72,98.11,23,76.55,3,18545.17,299,52.35,23809.97,8158.7,0.3427,763,
Kuwait,Accessories,63.87,0.4,3.86,62.55,0.86,69.23,36,,9,36035.42,581,50.78,37108.66,7606.66,0.205,,0.381080899
Kuwait,Accessories,71.19,0.23,3.16,50.99,0.81,74.68,69,87.32,11.4,32456,501,54.65,35668.65,8289.52,0.2324,,0.503904849
UAE,Shoes,70.08,0.39,4.91,29.6,0.95,86.29,19,90.84,,24141.38,443,42.78,31043.95,12094.22,0.3896,1573,0.639761363
Kuwait,Apparel,110.58,0.17,3.24,62.53,1.23,96.12,37,72.85,3.3,38848.66,497,80.56,54958.05,14921.17,0.2715,7735,0.385668532
UAE,Shoes,164.6,0.04,4.82,60.45,1.12,143.51,7,76.38,2.7,47818.2,332,108.32,54646.81,18685.41,0.3419,9642,
Oman,Apparel,78.95,0,4.71,60.82,1.07,84.77,46,82.8,11.9,42214.32,465,50.89,36709.72,13046,0.3554,,
Kuwait,Apparel,59.39,0.14,3.14,90.31,0.85,50.1,34,86.33,7.5,2002.36,420,36.61,24945.41,9568.45,0.3836,,0.601224189
Bahrain,Apparel,139.11,0.22,4.14,73.13,0.84,,59,72.73,4.8,10820.01,470,91.48,65382.94,22386.88,0.3424,2546,0.120282133
UAE,Accessories,52.18,0.43,4.01,63.2,1.16,49.79,15,67.94,11.5,49449.8,740,41.31,38614.54,8048.29,0.2084,,
Kuwait,Apparel,50.72,0.36,,39.32,1.05,48.32,40,90.04,1,17420.99,520,33.49,26375.79,8959.47,0.3397,,0.111420806
Kuwait,Shoes,192.59,0.36,3.77,34.2,1.22,214.2,37,79.36,11.3,26662.83,353,128.34,67984.61,22679.06,0.3336,3092,
Bahrain,Accessories,83.32,0.45,3.78,89.79,0.84,95.16,19,85.12,7.7,17104.63,514,59.83,42825.43,12074.54,0.2819,7666,0.62839836
Qatar,Accessories,25.86,0.48,3.5,57.62,0.85,,17,69.13,,49458.98,585,21.06,15127.1,2805.54,0.1855,,0.675197719
Kuwait,Shoes,222.05,0.19,3.2,36.11,0.87,229.68,31,65.72,5.6,40074.5,224,128.51,49738.62,20953.03,0.4213,,
UAE,Apparel,62.25,0.26,,48.45,0.85,,60,79.74,1.7,19868.82,490,43.05,30500.1,9406.87,0.3084,,
Bahrain,Accessories,18.66,0.45,3,76.01,1.29,17.58,56,,7.9,49713.41,736,13.52,13735.87,3785.78,0.2756,,0.982114985
UAE,Shoes,227.44,0.26,4.28,64.26,0.79,256.37,5,93.12,3.7,49158.5,154,126.41,35025.06,15557.99,0.4442,,
Saudi Arabia,Shoes,81.85,0.47,4.71,63.59,1.27,79.57,64,87.74,7.2,7019.82,570,47.65,46656.84,19496.66,0.4179,,0.217295523
Kuwait,Accessories,34.86,0.17,4.48,43.41,1.02,39.5,23,63.59,8.5,18666.4,571,25.98,19903.32,5071.42,0.2548,,0.005194925
Bahrain,Apparel,129.46,0.03,4.84,49.66,1.01,99.53,49,,5.3,2089.03,434,86.71,56185.8,18552.5,0.3302,,
Saudi Arabia,Shoes,125.18,0.28,3.97,40.35,1.12,155.36,14,92.72,4.3,28565.3,351,71.17,43937.79,18958.32,0.4315,,
Kuwait,Accessories,56.22,0.49,3.41,69.08,0.93,69.13,35,76.6,6.4,41775.04,579,43.79,32550.95,7194.58,0.221,,0.166209862
Saudi Arabia,Shoes,100.8,0.12,4.58,42.84,0.82,,9,90.42,12.4,29360.5,344,67.77,34675.98,11361.75,0.3277,,0.072518222
Saudi Arabia,Apparel,34.45,0.44,4.92,87.02,1.17,33.81,44,89.7,10.7,41549.26,692,24.75,23840.64,6712.61,0.2816,5296,
Saudi Arabia,Apparel,79.31,0.04,,41.76,1.08,90.44,21,71.71,3.8,15212.81,427,52.35,33864.96,11511.4,0.3399,,0.92147529
UAE,Shoes,192.78,0.32,4.23,78.09,0.82,190.2,59,87.31,3.3,42079.38,442,113.88,85209.73,34876.25,0.4093,,
Saudi Arabia,Shoes,163.06,0.33,3.25,39.38,1.1,196.3,45,86.4,8.6,13657.21,325,102.14,52995.75,19798.81,0.3736,,
Bahrain,Accessories,88.02,0.19,3.66,24.03,1.24,106.14,29,74.47,1,44386.85,555,66.03,48851.98,12207.76,0.2499,7755,
Qatar,Accessories,47.53,0.13,3.43,87.44,0.86,36.42,51,73.34,2.3,26563.55,588,35.87,27946.08,6855.69,0.2453,,
Qatar,Shoes,86.36,0.29,4.96,75.41,1,88.62,51,90.2,9.1,28249.11,479,55.1,41364.34,14971.91,0.362,,
